timestamp(ms),myData.gz,myData.gy,varx,vary,
"1782220411.088","-0.79","-1.53",,,
"1782220411.096","-0.61","-1.59",,,
"1782220411.105",,"-1.59",,,
"1782220411.106","-0.73","-1.47",,,
"1782220411.122","-0.55","-1.47",,,
"1782220411.13","-0.55","-1.47",,,
"1782220411.144","-0.92","-1.47",,,
"1782220411.147","-0.73","-1.71",,,
"1782220411.161",,"-1.71",,,
"1782220411.162","-0.73","-1.47",,,
"1782220411.172","-0.73","-1.47",,,
"1782220411.175","-0.67","-1.4",,,
"1782220411.186","-0.67","-1.4",,,
"1782220411.193",,"-1.71",,,
"1782220411.194","-0.79",,,,
"1782220411.2",,"-1.71",,,
"1782220411.201","-0.79",,,,
"1782220411.214","-0.67","-1.47",,,
"1782220411.217","-0.49","-1.34",,,
"1782220411.237","-0.55","-1.65",,,
"1782220411.243","-0.55","-1.65",,,
"1782220411.248",,"-1.47",,,
"1782220411.249","-0.61",,,,
"1782220411.26",,"-1.47",,,
"1782220411.261","-0.79","-1.53",,,
"1782220411.274","-0.79","-1.53",,,
"1782220411.286","-0.61","-1.65",,,
"1782220411.289","-0.67","-1.59",,,
"1782220411.299","-0.67","-1.59",,,
"1782220411.303","-0.79","-1.47",,,
"1782220411.314","-0.79","-1.47",,,
"1782220411.317","-0.67","-1.59",,,
"1782220411.328","-0.67","-1.59",,,
"1782220411.331","-0.67","-1.71",,,
"1782220411.343","-0.67","-1.71",,,
"1782220411.356","-0.43","-1.47",,,
"1782220411.359","-0.79","-1.4",,,
